*******************************************************************************
*** Historical Isotopic Temperature Record from the Vostok Ice Core         ***
***                                                                         *** 
*** The data available from CDIAC represent a major effort by researchers   ***
*** from France, Russia, and the U.S.A.  We ask as a professional courtesy  ***
*** (and as a condition for its use by you) that when you refer to this     ***
*** data set in publications you cite the following papers.                 ***
***                                                                         ***
***  Jouzel, J., C. Lorius, J.R. Petit, C. Genthon, N.I. Barkov,            ***
***   V.M. Kotlyakov, and V.M. Petrov. 1987.  Vostok ice core: a continuous ***
***   isotope temperature record over the last climatic cycle (160,000      ***
***   years). Nature 329:403-8.                                             ***
***                                                                         ***
***  Jouzel, J., N.I. Barkov, J.M. Barnola, M. Bender, J. Chappellaz,       ***
***   C. Genthon, V.M. Kotlyakov, V. Lipenkov, C. Lorius, J.R. Petit,       ***
***   D. Raynaud, G. Raisbeck, C. Ritz, T. Sowers, M. Stievenard, F. Yiou,  ***
***   and P. Yiou. 1993. Extending the Vostok ice-core record of            ***
***   palaeoclimate to the penultimate glacial period. Nature 364:407-12.   ***
***                                                                         ***
***  Jouzel, J., C. Waelbroeck, B. Malaize, M. Bender, J.R. Petit,          ***
***   M. Stievenard, N.I. Barkov, J.M. Barnola, T. King, V.M. Kotlyakov,    ***
***   V. Lipenkov, C. Lorius, D. Raynaud, C. Ritz, and T. Sowers. 1996.     ***
***   Climatic interpretation of the recently extended Vostok ice records.  ***
***   Climate Dynamics 12:513-521.                                          ***
***                                                                         ***
***  Petit, J.R., J. Jouzel, D. Raynaud, N.I. Barkov, J.-M. Barnola,        ***
***   I. Basile, M. Bender, J. Chappellaz, M. Davis, G. Delayque,           ***
***   M. Delmotte, V.M. Kotlyakov, M. Legrand, V.Y. Lipenkov, C. Lorius,    ***
***   L. Pepin, C. Ritz, E. Saltzman, and M. Stievenard. 1999.              ***
***   Climate and atmospheric history of the past 420,000 years from the    ***
***   Vostok ice core, Antarctica. Nature 399: 429-436.                     ***
***                                                                         ***
*** Source: J. R. Petit                                                     ***
***         D. Raynaud                                                      ***
***         C. Lorius                                                       ***
***         Laboratoire de Glaciologie et de Geophysique de l'Environnement ***
***         38402 Saint Martin d'Heres Cedex, France                        ***
***                                                                         ***
***         J. Jouzel                                                       ***
***         G. Delaygue                                                     ***
***         Laboratoire des Sciences du Climat et de l'Environment          ***
***         (UMR CEA/CNRS 1572)                                             ***
***         91191 Gif-sur-Yvette Cedex, France                              ***
***                                                                         ***
***         N. I. Barkov                                                    ***
***         Arctic and Antarctic Research Institute                         ***
***         Beringa Street 38                                               ***
***         St. Petersburg 199397, Russia                                   ***
***                                                                         ***
***         V. M. Kotlyakov                                                 ***
***         Institute of Geography                                          ***
***         Staromonetny, per 29, Moscow 109017, Russia                     ***
***                                                                         ***
*** January 2000                                                            ***
*******************************************************************************
#                   Deuterium               
#         Age of     content   Temperature
# Depth   the ice   of the ice  Variation
#  (m)    (yr BP)   (delta D)    (deg C)
# 
2273   174105       -472.7       -6.86
2274   174226       -472.0       -6.74
2275   174344       -468.6       -6.18
2276   174459       -467.6       -6.02
2277   174573       -467.2       -5.95
2278   174688       -468.0       -6.09
2279   174804       -469.1       -6.27
2280   174920       -467.0       -5.92
2281   175034       -467.6       -6.02
2282   175150       -468.3       -6.14
2283   175266       -468.4       -6.16
2284   175386       -472.5       -6.84
2285   175509       -475.0       -7.25
2286   175630       -468.0       -6.09
2287   175746       -467.7       -6.04
2288   175866       -473.5       -7.00
2289   175991       -474.8       -7.22
2290   176117       -474.9       -7.23
2291   176244       -476.9       -7.56
2292   176373       -475.5       -7.33
2293   176501       -476.5       -7.50
2294   176630       -477.0       -7.58
2295   176759       -476.8       -7.54
2296   176887       -474.7       -7.19
2297   177015       -476.5       -7.49
2298   177142       -474.0       -7.08
2299   177268       -473.9       -7.06
2300   177393       -472.8       -6.88
2301   177517       -473.1       -6.92
2302   177644       -476.0       -7.40
2303   177773       -476.2       -7.44
2304   177900       -473.2       -6.94
2305   178026       -474.0       -7.07
2306   178153       -475.1       -7.25
2307   178283       -477.5       -7.64
2308   178417       -480.8       -8.19
2309   178554       -480.6       -8.15
2310   178691       -481.4       -8.28
2311   178830       -481.8       -8.35
2312   178965       -476.7       -7.50
2313   179093       -472.3       -6.77
2314   179217       -471.6       -6.65
2315   179342       -473.7       -7.00
2316   179468       -472.7       -6.83
2317   179590       -468.2       -6.08
2318   179706       -463.5       -5.30
2319   179820       -464.7       -5.49
2320   179939       -470.1       -6.39
2321   180060       -469.8       -6.34
2322   180182       -469.9       -6.35
2323   180304       -469.5       -6.28
2324   180426       -470.5       -6.44
2325   180546       -466.1       -5.71
2326   180663       -465.7       -5.64
2327   180780       -465.7       -5.64
2328   180895       -463.8       -5.32
2329   181011       -466.3       -5.73
2330   181132       -471.8       -6.64
2331   181259       -473.5       -6.92
2332   181382       -466.8       -5.80
2333   181502       -469.2       -6.20
2334   181626       -472.7       -6.77
2335   181753       -472.3       -6.71
2336   181881       -473.8       -6.95
2337   182011       -475.9       -7.30
2338   182146       -479.4       -7.87
2339   182284       -480.2       -8.00
2340   182421       -477.3       -7.52
2341   182556       -478.2       -7.66
2342   182694       -480.7       -8.08
2343   182830       -476.0       -7.29
2344   182965       -478.5       -7.70
2345   183102       -478.9       -7.77
2346   183243       -483.8       -8.58
2347   183386       -481.0       -8.11
2348   183525       -478.2       -7.64
2349   183664       -481.4       -8.17
2350   183807       -481.6       -8.20
2351   183948       -480.9       -8.08
2352   184088       -479.2       -7.79
2353   184229       -481.1       -8.10
2354   184367       -476.7       -7.37
2355   184501       -475.1       -7.10
2356   184641       -484.9       -8.72
2357   184787       -481.8       -8.21
2358   184928       -479.1       -7.75
2359   185069       -481.2       -8.10
2360   185212       -482.0       -8.23
2361   185354       -479.1       -7.75
2362   185494       -480.3       -7.94
2363   185640       -485.0       -8.72
2364   185788       -483.6       -8.49
2365   185931       -478.5       -7.64
2366   186071       -480.1       -7.90
2367   186213       -480.6       -7.98
2368   186356       -480.4       -7.95
2369   186499       -481.6       -8.14
2370   186642       -478.8       -7.68
2371   186784       -481.3       -8.09
2372   186927       -480.4       -7.94
2373   187067       -476.9       -7.36
2374   187204       -476.4       -7.27
2375   187343       -479.3       -7.75
2376   187486       -481.7       -8.14
2377   187630       -479.5       -7.78
2378   187770       -477.4       -7.42
2379   187907       -475.0       -7.01
2380   188042       -475.2       -7.03
2381   188181       -480.3       -7.87
2382   188324       -480.2       -7.84
2383   188467       -479.0       -7.63
2384   188609       -480.8       -7.92
2385   188752       -478.4       -7.51
2386   188892       -478.2       -7.46
2387   189030       -476.1       -7.10
2388   189165       -473.4       -6.64
2389   189297       -472.5       -6.48
2390   189431       -476.2       -7.08
2391   189568       -475.9       -7.02
2392   189702       -473.6       -6.63
2393   189832       -470.0       -6.02
2394   189961       -471.6       -6.27
2395   190092       -473.0       -6.49
2396   190222       -470.1       -6.00
2397   190348       -467.8       -5.61
2398   190469       -463.2       -4.84
2399   190587       -463.0       -4.79
2400   190705       -462.6       -4.72
2401   190822       -461.4       -4.51
2402   190934       -456.0       -3.60
2403   191043       -456.5       -3.68
2404   191156       -462.3       -4.63
2405   191276       -465.7       -5.18
2406   191398       -466.8       -5.35
2407   191522       -467.8       -5.51
2408   191647       -468.1       -5.55
2409   191771       -467.0       -5.36
2410   191895       -467.7       -5.46
2411   192018       -464.8       -4.97
2412   192138       -464.0       -4.83
2413   192258       -465.2       -5.02
2414   192382       -468.2       -5.51
2415   192509       -470.3       -5.85
2416   192638       -471.3       -6.01
2417   192768       -471.1       -5.97
2418   192895       -467.4       -5.35
2419   193022       -470.4       -5.84
2420   193152       -472.7       -6.21
2421   193285       -473.1       -6.28
2422   193421       -476.2       -6.78
2423   193556       -473.0       -6.25
2424   193687       -469.6       -5.68
2425   193816       -470.9       -5.89
2426   193946       -470.9       -5.88
2427   194075       -469.4       -5.63
2428   194201       -466.8       -5.19
2429   194324       -464.5       -4.80
2430   194444       -462.9       -4.53
2431   194565       -465.5       -4.96
2432   194687       -464.5       -4.79
2433   194806       -461.2       -4.23
2434   194926       -466.3       -5.07
2435   195051       -467.2       -5.22
2436   195175       -465.3       -4.90
2437   195298       -464.8       -4.81
2438   195420       -465.5       -4.92
2439   195546       -468.9       -5.48
2440   195676       -471.3       -5.88
2441   195808       -471.8       -5.95
2442   195940       -470.8       -5.78
2443   196071       -470.5       -5.73
2444   196202       -469.7       -5.59
2445   196332       -470.5       -5.72
2446   196463       -470.5       -5.72
2447   196593       -468.9       -5.45
2448   196722       -468.5       -5.37
2449   196846       -463.2       -4.49
2450   196965       -460.5       -4.04
2451   197086       -465.5       -4.86
2452   197211       -467.4       -5.17
2453   197338       -466.2       -4.97
2454   197462       -465.1       -4.79
2455   197587       -465.6       -4.87
2456   197711       -465.4       -4.83
2457   197833       -462.2       -4.30
2458   197954       -463.3       -4.48
2459   198075       -460.8       -4.07
2460   198192       -459.5       -3.85
2461   198309       -459.2       -3.80
2462   198426       -459.3       -3.81
2463   198542       -458.5       -3.68
2464   198656       -455.6       -3.20
2465   198768       -456.2       -3.29
2466   198881       -454.9       -3.08
2467   198992       -454.2       -2.96
2468   199104       -456.7       -3.37
2469   199220       -459.5       -3.84
2470   199337       -458.2       -3.62
2471   199452       -456.9       -3.40
2472   199567       -458.3       -3.63
2473   199682       -455.5       -3.17
2474   199793       -453.2       -2.80
2475   199904       -454.1       -2.95
2476   200015       -452.4       -2.68
2477   200124       -453.0       -2.78
2478   200236       -454.7       -3.07
2479   200345       -449.6       -2.23
2480   200451       -448.3       -2.02
2481   200558       -450.7       -2.42
2482   200666       -451.0       -2.48
2483   200776       -453.0       -2.82
2484   200887       -453.1       -2.84
2485   200998       -452.7       -2.78
2486   201109       -451.5       -2.59
2487   201216       -447.3       -1.90
2488   201319       -444.8       -1.49
2489   201423       -447.6       -1.96
2490   201529       -448.5       -2.11
2491   201635       -447.7       -1.99
2492   201742       -449.3       -2.26
2493   201849       -448.2       -2.08
2494   201957       -449.7       -2.34
2495   202065       -447.7       -2.02
2496   202169       -444.7       -1.53
2497   202275       -449.9       -2.40
2498   202386       -451.0       -2.59
2499   202496       -450.5       -2.51
2500   202607       -450.6       -2.54
2501   202717       -449.4       -2.35
2502   202826       -449.0       -2.29
2503   202936       -450.2       -2.49
2504   203046       -449.5       -2.38
2505   203155       -447.0       -1.98
2506   203262       -446.5       -1.90
2507   203370       -449.1       -2.34
2508   203481       -450.4       -2.56
2509   203592       -449.6       -2.43
2510   203704       -451.4       -2.73
2511   203818       -452.5       -2.92
2512   203933       -453.1       -3.03
2513   204049       -453.5       -3.10
2514   204164       -451.1       -2.71
2515   204278       -451.9       -2.84
2516   204394       -454.3       -3.25
2517   204512       -453.8       -3.17
2518   204629       -452.4       -2.94
2519   204743       -450.1       -2.56
2520   204857       -451.4       -2.78
2521   204973       -453.7       -3.17
2522   205092       -456.0       -3.55
2523   205214       -456.8       -3.69
2524   205336       -456.7       -3.68
2525   205458       -456.4       -3.63
2526   205582       -458.3       -3.95
2527   205708       -460.1       -4.25
2528   205836       -460.7       -4.35
2529   205965       -461.3       -4.45
2530   206097       -464.3       -4.95
2531   206232       -464.9       -5.05
2532   206366       -462.6       -4.67
2533   206496       -460.9       -4.39
2534   206627       -462.3       -4.62
2535   206759       -462.5       -4.65
2536   206890       -460.2       -4.27
2537   207019       -460.8       -4.37
2538   207149       -460.3       -4.29
2539   207278       -460.4       -4.31
2540   207409       -461.5       -4.49
2541   207540       -460.8       -4.37
2542   207671       -461.4       -4.47
2543   207803       -461.7       -4.51
2544   207933       -459.3       -4.11
2545   208061       -458.8       -4.02
2546   208191       -460.8       -4.35
2547   208319       -456.9       -3.70
2548   208445       -457.6       -3.81
2549   208571       -456.8       -3.68
2550   208696       -456.3       -3.59
2551   208821       -456.4       -3.60
2552   208946       -456.1       -3.55
2553   209072       -457.0       -3.70
2554   209195       -453.2       -3.06
2555   209315       -452.1       -2.88
2556   209436       -453.9       -3.17
2557   209560       -456.2       -3.55
2558   209686       -457.3       -3.73
2559   209812       -455.8       -3.48
2560   209938       -456.4       -3.58
2561   210062       -453.4       -3.07
2562   210182       -450.0       -2.51
2563   210300       -450.8       -2.64
2564   210418       -451.0       -2.67
2565   210538       -452.5       -2.91
2566   210659       -451.8       -2.79
2567   210777       -449.0       -2.33
2568   210893       -447.9       -2.14
2569   211009       -448.3       -2.21
2570   211127       -450.9       -2.64
2571   211246       -451.1       -2.67
2572   211366       -450.5       -2.56
2573   211485       -450.3       -2.53
2574   211603       -448.8       -2.28
2575   211721       -450.8       -2.61
2576   211842       -452.0       -2.80
2577   211960       -447.2       -2.00
2578   212075       -447.4       -2.03
2579   212190       -446.1       -1.81
2580   212305       -448.3       -2.17
2581   212422       -447.7       -2.07
2582   212538       -447.5       -2.03
2583   212653       -445.2       -1.65
2584   212766       -445.1       -1.63
2585   212881       -447.8       -2.07
2586   212996       -445.3       -1.65
2587   213109       -444.4       -1.50
2588   213223       -447.2       -1.96
2589   213338       -446.0       -1.76
2590   213453       -445.5       -1.67
2591   213567       -446.4       -1.82
2592   213684       -447.8       -2.06
2593   213799       -444.1       -1.45
2594   213911       -443.5       -1.35
2595   214024       -444.9       -1.58
2596   214138       -444.4       -1.50
2597   214251       -443.8       -1.40
2598   214364       -443.8       -1.41
2599   214478       -445.0       -1.61
2600   214592       -444.8       -1.58
2601   214706       -443.5       -1.36
2602   214819       -443.0       -1.29
2603   214932       -443.6       -1.39
2604   215047       -445.2       -1.67
2605   215161       -443.5       -1.40
2606   215274       -442.5       -1.24
2607   215386       -441.1       -1.02
2608   215497       -440.4       -0.91
2609   215608       -442.2       -1.22
2610   215723       -445.3       -1.74
2611   215839       -443.5       -1.45
2612   215955       -445.5       -1.79
2613   216075       -448.4       -2.28
2614   216197       -449.0       -2.39
2615   216319       -447.3       -2.11
2616   216439       -447.4       -2.14
2617   216560       -447.1       -2.10
2618   216678       -442.8       -1.39
2619   216792       -440.7       -1.05
2620   216904       -440.2       -0.97
2621   217018       -441.7       -1.23
2622   217131       -440.7       -1.07
2623   217244       -439.4       -0.86
2624   217356       -440.3       -1.02
2625   217470       -440.9       -1.13
2626   217584       -441.3       -1.20
2627   217699       -441.1       -1.18
2628   217817       -447.1       -2.18
2629   217939       -446.2       -2.04
2630   218060       -445.0       -1.85
2631   218181       -445.7       -1.97
2632   218303       -446.3       -2.08
2633   218426       -447.0       -2.20
2634   218551       -449.5       -2.62
2635   218681       -453.1       -3.23
2636   218814       -452.9       -3.20
2637   218946       -451.3       -2.94
2638   219076       -451.0       -2.90
2639   219207       -451.4       -2.98
2640   219339       -452.5       -3.17
2641   219472       -453.5       -3.35
2642   219605       -450.4       -2.84
2643   219738       -453.8       -3.42
2644   219878       -459.5       -4.37
2645   220023       -459.1       -4.31
2646   220167       -458.5       -4.23
2647   220312       -459.7       -4.43
2648   220461       -463.0       -4.99
2649   220613       -462.0       -4.84
2650   220761       -459.0       -4.35
2651   220907       -459.8       -4.49
2652   221058       -463.0       -5.03
2653   221210       -462.1       -4.89
2654   221363       -462.4       -4.95
2655   221520       -467.4       -5.78
2656   221684       -469.8       -6.19
2657   221850       -468.7       -6.02
2658   222015       -468.9       -6.06
2659   222182       -469.8       -6.21
2660   222355       -474.9       -7.07
2661   222535       -476.2       -7.29
2662   222711       -471.3       -6.49
2663   222885       -473.0       -6.78
2664   223062       -474.5       -7.02
2665   223240       -473.7       -6.89
2666   223420       -476.2       -7.30
2667   223605       -478.2       -7.63
2668   223792       -478.0       -7.60
2669   223979       -477.7       -7.55
2670   224164       -476.6       -7.36
2671   224351       -478.3       -7.64
2672   224536       -475.6       -7.19
2673   224716       -472.4       -6.66
2674   224888       -467.8       -5.89
2675   225058       -469.8       -6.22
2676   225229       -469.7       -6.20
2677   225399       -467.8       -5.88
2678   225562       -462.5       -4.99
2679   225726       -468.4       -5.96
2680   225900       -472.2       -6.59
2681   226072       -467.0       -5.72
2682   226238       -466.2       -5.58
2683   226408       -469.8       -6.17
2684   226582       -470.8       -6.33
2685   226758       -472.1       -6.53
2686   226939       -475.2       -7.04
2687   227128       -479.2       -7.70
2688   227321       -478.8       -7.62
2689   227512       -476.3       -7.19
2690   227699       -475.9       -7.12
2691   227883       -474.1       -6.81
2692   228064       -472.3       -6.50
2693   228241       -469.4       -6.01
2694   228416       -470.6       -6.19
2695   228596       -474.4       -6.81
2696   228783       -477.6       -7.33
2697   228974       -477.7       -7.34
2698   229165       -476.9       -7.19
2699   229354       -475.9       -7.01
2700   229541       -475.2       -6.89
2701   229726       -474.2       -6.71
2702   229909       -472.1       -6.34
2703   230088       -471.0       -6.15
2704   230264       -469.3       -5.85
2705   230440       -471.3       -6.17
2706   230618       -470.0       -5.94
2707   230794       -470.2       -5.96
2708   230972       -471.1       -6.09
2709   231146       -466.8       -5.37
2710   231315       -465.6       -5.15
2711   231482       -465.2       -5.07
2712   231649       -464.7       -4.98
2713   231815       -464.5       -4.93
2714   231979       -462.2       -4.54
2715   232140       -461.3       -4.38
2716   232299       -460.4       -4.21
2717   232458       -460.9       -4.29
2718   232617       -460.2       -4.16
2719   232774       -458.8       -3.91
2720   232930       -458.2       -3.80
2721   233083       -456.1       -3.44
2722   233236       -457.5       -3.66
2723   233390       -457.9       -3.71
2724   233542       -455.2       -3.26
2725   233691       -452.9       -2.87
2726   233836       -451.2       -2.59
2727   233979       -449.6       -2.33
2728   234122       -452.3       -2.78
2729   234268       -451.6       -2.66
2730   234411       -448.9       -2.22
2731   234552       -448.9       -2.22
2732   234694       -449.1       -2.25
2733   234837       -451.5       -2.65
2734   234984       -452.2       -2.77
2735   235129       -450.2       -2.44
2736   235271       -447.1       -1.93
2737   235411       -447.0       -1.92
2738   235552       -448.9       -2.24
2739   235694       -448.2       -2.13
2740   235836       -448.0       -2.11
2741   235977       -446.6       -1.89
2742   236114       -443.9       -1.45
2743   236250       -443.6       -1.40
2744   236385       -441.8       -1.11
2745   236518       -442.1       -1.17
2746   236652       -441.9       -1.15
2747   236785       -440.6       -0.94
2748   236916       -438.5       -0.60
2749   237043       -434.2        0.10
2750   237166       -433.8        0.16
2751   237288       -431.8        0.48
2752   237410       -432.5        0.36
2753   237529       -428.4        1.03
2754   237643       -424.1        1.73
2755   237755       -424.0        1.74
2756   237866       -422.4        1.99
2757   237975       -421.1        2.20
2758   238084       -421.7        2.09
2759   238194       -422.8        1.90
2760   238306       -423.6        1.75
2761   238419       -424.1        1.66
2762   238532       -424.7        1.55
2763   238647       -426.1        1.30
2764   238764       -427.1        1.12
2765   238883       -427.8        0.99
2766   239003       -429.5        0.69
2767   239125       -430.2        0.56
2768   239248       -430.7        0.46
2769   239375       -434.4       -0.18
2770   239506       -436.5       -0.54
2771   239642       -440.9       -1.29
2772   239784       -443.6       -1.76
2773   239931       -446.2       -2.22
2774   240080       -445.5       -2.12
2775   240231       -448.2       -2.59
2776   240387       -451.1       -3.09
2777   240548       -453.0       -3.43
2778   240711       -453.6       -3.55
2779   240877       -455.3       -3.85
2780   241048       -457.1       -4.17
2781   241224       -460.9       -4.82
2782   241406       -463.3       -5.23
2783   241596       -466.6       -5.80
2784   241792       -469.0       -6.21
2785   241991       -468.3       -6.10
2786   242187       -466.8       -5.86
2787   242382       -466.4       -5.80
2788   242576       -466.0       -5.74
2789   242770       -465.4       -5.65
2790   242959       -461.6       -5.02
2791   243144       -461.0       -4.93
2792   243330       -462.5       -5.18
2793   243519       -464.2       -5.46
2794   243714       -467.0       -5.93
2795   243916       -469.7       -6.38
2796   244124       -472.4       -6.82
2797   244337       -473.1       -6.94
2798   244551       -473.6       -7.02
2799   244767       -473.9       -7.07
2800   244983       -473.3       -6.97
2801   245196       -471.8       -6.72
2802   245407       -471.0       -6.58
2803   245618       -471.8       -6.71
2804   245834       -474.7       -7.19
2805   246053       -474.0       -7.07
2806   246269       -472.8       -6.86
2807   246485       -472.6       -6.83
2808   246700       -472.3       -6.78
2809   246917       -474.1       -7.07
2810   247135       -473.2       -6.92
2811   247351       -471.3       -6.60
2812   247566       -472.4       -6.78
2813   247785       -474.5       -7.13
2814   248007       -474.5       -7.13
2815   248229       -474.3       -7.10
2816   248453       -475.9       -7.36
2817   248680       -476.2       -7.41
2818   248907       -475.2       -7.24
2819   249128       -472.3       -6.76
2820   249345       -470.8       -6.51
2821   249560       -470.6       -6.48
2822   249772       -468.4       -6.11
2823   249984       -470.1       -6.39
2824   250199       -470.9       -6.52
2825   250413       -468.8       -6.17
2826   250618       -463.6       -5.31
2827   250818       -463.5       -5.29
2828   251021       -466.1       -5.72
2829   251231       -469.8       -6.34
2830   251448       -470.7       -6.48
2831   251666       -470.8       -6.50
2832   251883       -469.3       -6.25
2833   252102       -472.6       -6.79
2834   252329       -474.8       -7.16
2835   252553       -470.8       -6.49
2836   252769       -467.9       -6.01
2837   252986       -471.2       -6.55
2838   253213       -474.7       -7.13
2839   253442       -473.5       -6.93
2840   253670       -473.2       -6.88
2841   253896       -471.7       -6.63
2842   254121       -472.4       -6.75
2843   254345       -470.6       -6.45
2844   254560       -465.5       -5.60
2845   254767       -462.7       -5.14
2846   254972       -464.3       -5.41
2847   255183       -466.4       -5.77
2848   255399       -468.7       -6.16
2849   255620       -470.1       -6.39
2850   255844       -470.3       -6.43
2851   256068       -469.8       -6.36
2852   256294       -471.8       -6.69
2853   256525       -473.3       -6.95
2854   256759       -473.2       -6.93
2855   256994       -474.4       -7.13
2856   257234       -476.1       -7.42
2857   257479       -477.1       -7.58
2858   257726       -477.8       -7.70
2859   257975       -478.7       -7.85
2860   258224       -476.6       -7.50
2861   258471       -477.6       -7.67
2862   258723       -479.7       -8.01
2863   258978       -479.5       -7.98
2864   259235       -480.2       -8.09
2865   259492       -480.0       -8.05
2866   259750       -479.6       -7.99
2867   260009       -481.5       -8.30
2868   260272       -481.6       -8.31
2869   260536       -481.3       -8.26
2870   260801       -482.9       -8.52
2871   261069       -482.4       -8.43
2872   261336       -482.4       -8.43
2873   261602       -481.0       -8.19
2874   261865       -480.8       -8.16
2875   262131       -482.4       -8.42
2876   262399       -481.7       -8.30
2877   262665       -481.2       -8.21
2878   262933       -482.5       -8.42
2879   263201       -480.8       -8.13
2880   263466       -480.5       -8.08
2881   263732       -481.9       -8.30
2882   264004       -483.3       -8.53
2883   264273       -479.7       -7.93
2884   264533       -477.3       -7.52
2885   264792       -479.4       -7.86
2886   265055       -479.4       -7.85
2887   265321       -481.1       -8.13
2888   265595       -483.8       -8.57
2889   265865       -479.1       -7.78
2890   266123       -475.5       -7.18
2891   266380       -478.1       -7.61
2892   266643       -479.0       -7.75
2893   266905       -477.8       -7.54
2894   267167       -478.5       -7.66
2895   267431       -478.5       -7.65
2896   267692       -476.3       -7.28
2897   267946       -473.8       -6.86
2898   268194       -472.2       -6.59
2899   268435       -468.4       -5.96
2900   268677       -472.4       -6.61
2901   268926       -473.4       -6.77
2902   269178       -473.8       -6.84
2903   269429       -472.7       -6.65
2904   269678       -472.4       -6.59
2905   269926       -471.7       -6.47
2906   270169       -468.6       -5.95
2907   270409       -469.0       -6.00
2908   270648       -467.8       -5.80
2909   270883       -465.7       -5.44
2910   271114       -464.9       -5.30
2911   271347       -467.1       -5.65
2912   271584       -467.7       -5.74
2913   271822       -467.3       -5.65
2914   272053       -462.3       -4.80
2915   272276       -461.2       -4.60
2916   272500       -463.2       -4.90
2917   272724       -461.8       -4.65
2918   272946       -460.6       -4.43
2919   273166       -460.3       -4.35
2920   273385       -460.3       -4.33
2921   273605       -460.4       -4.33
2922   273827       -461.8       -4.55
2923   274048       -459.2       -4.10
2924   274263       -457.7       -3.84
2925   274477       -457.6       -3.80
2926   274692       -458.6       -3.95
2927   274909       -458.7       -3.95
2928   275127       -459.8       -4.13
2929   275344       -457.5       -3.73
2930   275559       -457.4       -3.71
2931   275772       -456.4       -3.53
2932   275983       -455.5       -3.38
2933   276195       -456.2       -3.48
2934   276409       -457.1       -3.62
2935   276622       -455.5       -3.35
2936   276830       -452.7       -2.88
2937   277036       -453.5       -3.01
2938   277246       -455.5       -3.33
2939   277460       -457.2       -3.61
2940   277680       -459.3       -3.95
2941   277903       -459.6       -4.00
2942   278130       -462.3       -4.44
2943   278361       -462.4       -4.46
2944   278593       -462.2       -4.44
2945   278825       -462.1       -4.43
2946   279057       -462.1       -4.44
2947   279292       -463.4       -4.67
2948   279533       -465.9       -5.10
2949   279781       -468.2       -5.49
2950   280038       -472.2       -6.17
2951   280303       -472.2       -6.18
2952   280564       -469.1       -5.69
2953   280817       -466.6       -5.30
2954   281071       -468.6       -5.66
2955   281332       -471.2       -6.11
2956   281602       -473.4       -6.50
2957   281875       -472.6       -6.39
2958   282143       -469.9       -5.96
2959   282405       -468.1       -5.67
2960   282661       -464.9       -5.15
2961   282910       -463.0       -4.85
2962   283160       -465.2       -5.22
2963   283417       -467.1       -5.55
2964   283677       -467.0       -5.54
2965   283941       -469.4       -5.95
2966   284218       -474.7       -6.83
2967   284508       -477.3       -7.27
2968   284804       -477.5       -7.30
2969   285102       -478.4       -7.45
2970   285398       -475.6       -6.99
2971   285686       -473.0       -6.57
2972   285968       -472.0       -6.40
2973   286248       -471.2       -6.27
2974   286525       -470.2       -6.10
2975   286802       -470.6       -6.15
2976   287079       -469.5       -5.96
2977   287351       -467.5       -5.62
2978   287617       -465.5       -5.28
2979   287879       -464.4       -5.09
2980   288145       -468.0       -5.68
2981   288418       -468.8       -5.80
2982   288698       -472.1       -6.34
2983   288986       -473.1       -6.50
2984   289271       -470.5       -6.06
2985   289549       -468.2       -5.67
2986   289823       -467.6       -5.56
2987   290100       -470.3       -6.00
2988   290382       -470.4       -6.00
2989   290660       -466.8       -5.39
2990   290929       -465.4       -5.15
2991   291193       -462.5       -4.65
2992   291455       -464.3       -4.93
2993   291721       -465.2       -5.07
2994   291986       -462.6       -4.62
2995   292242       -459.7       -4.13
2996   292490       -456.1       -3.52
2997   292732       -455.8       -3.46
2998   292976       -457.1       -3.67
2999   293232       -463.7       -4.76
3000   293502       -466.5       -5.22
3001   293779       -467.3       -5.34
3002   294060       -468.9       -5.60
3003   294348       -471.7       -6.06
3004   294637       -468.7       -5.56
3005   294919       -467.4       -5.34
3006   295198       -466.2       -5.13
3007   295474       -465.2       -4.96
3008   295749       -465.1       -4.94
3009   296020       -462.9       -4.57
3010   296289       -462.7       -4.53
3011   296562       -465.8       -5.04
3012   296840       -465.1       -4.92
3013   297116       -464.5       -4.81
3014   297393       -465.1       -4.90
3015   297669       -463.9       -4.70
3016   297943       -463.2       -4.57
3017   298215       -462.7       -4.48
3018   298485       -461.0       -4.20
3019   298749       -458.7       -3.81
3020   299012       -460.1       -4.04
3021   299275       -458.0       -3.69
3022   299533       -456.6       -3.45
3023   299788       -455.0       -3.19
3024   300039       -454.4       -3.08
3025   300293       -455.5       -3.26
3026   300547       -454.7       -3.13
3027   300799       -453.7       -2.97
3028   301052       -454.9       -3.17
3029   301305       -453.4       -2.92
3030   301560       -455.8       -3.32
3031   301813       -451.0       -2.52
3032   302061       -452.4       -2.76
3033   302320       -457.7       -3.64
3034   302583       -455.0       -3.19
3035   302834       -449.5       -2.28
3036   303077       -448.0       -2.04
3037   303316       -446.2       -1.74
3038   303558       -449.8       -2.34
3039   303810       -453.0       -2.88
3040   304068       -453.9       -3.03
3041   304333       -456.5       -3.46
3042   304606       -459.0       -3.88
3043   304886       -460.5       -4.13
3044   305171       -461.6       -4.32
3045   305463       -464.6       -4.82
3046   305764       -466.5       -5.14
3047   306073       -468.2       -5.42
3048   306386       -468.9       -5.54
3049   306698       -466.5       -5.14
3050   307005       -466.2       -5.09
3051   307309       -464.0       -4.72
3052   307608       -463.2       -4.58
3053   307908       -463.9       -4.69
3054   308206       -462.2       -4.41
3055   308500       -460.3       -4.09
3056   308789       -459.5       -3.95
